Timestamp (ms),Accel X,Accel Y,Accel Z
548552,0.39,0.1,-0.89
548573,0.39,0.11,-0.89
548594,0.45,0.1,-0.88
548615,0.46,0.09,-0.88
548636,0.46,0.09,-0.91
548657,0.46,0.08,-0.92
548678,0.48,0.09,-0.93
548699,0.45,0.09,-0.92
548720,0.44,0.09,-0.92
548741,0.42,0.1,-0.93
548762,0.45,0.09,-0.92
548783,0.46,0.09,-0.91
548804,0.46,0.1,-0.92
548825,0.42,0.1,-0.93
548846,0.41,0.09,-0.93
548867,0.44,0.08,-0.92
548888,0.44,0.08,-0.91
548909,0.42,0.1,-0.93
548930,0.39,0.11,-0.94
548951,0.43,0.09,-0.92
548972,0.47,0.08,-0.93
548993,0.46,0.08,-0.92
549014,0.49,0.12,-0.95
549035,0.43,0.13,-0.97
549056,0.34,0.11,-0.95
549077,0.4,0.1,-0.88
549098,0.52,0.11,-0.86
549119,0.47,0.13,-0.9
549140,0.46,0.09,-0.92
549161,0.5,0.07,-0.93
549182,0.5,0.08,-0.92
549203,0.52,0.09,-0.91
549224,0.48,0.09,-0.9
549245,0.46,0.09,-0.93
549266,0.47,0.12,-0.95
549287,0.48,0.13,-0.96
549308,0.47,0.11,-0.95
549329,0.44,0.1,-0.96
549350,0.5,0.08,-0.96
549371,0.48,0.09,-0.94
549392,0.47,0.09,-0.92
549413,0.35,0.11,-0.88
549434,0.28,0.11,-0.87
549455,0.54,0.1,-0.86
549476,0.68,0.08,-0.91
549497,0.37,0.1,-0.94
549518,0.28,0.13,-0.94
549539,0.45,0.14,-0.9
549560,0.54,0.09,-0.88
549581,0.38,0.1,-0.95
549602,0.36,0.12,-0.96
549623,0.46,0.12,-0.94
549644,0.56,0.1,-0.91
549665,0.58,0.09,-0.89
549686,0.26,0.13,-0.91
549707,0.37,0.15,-0.89
549728,0.7,0.1,-0.9
549749,0.58,0.04,-0.91
549770,0.24,0.12,-0.93
549791,0.56,0.12,-0.92
549812,0.61,0.06,-0.91
549833,0.51,0.07,-0.94
549854,0.36,0.1,-0.92
549875,0.45,0.12,-0.92
549896,0.33,0.13,-0.92
549917,0.29,0.14,-0.9
549938,0.49,0.1,-0.9
549959,0.62,0.05,-0.92
549980,0.21,0.12,-0.93
550001,0.49,0.16,-0.9
550022,0.77,0.08,-0.88
550043,0.65,0.04,-0.93
550064,0.52,0.08,-0.94
550085,0.29,0.12,-0.92
550106,0.26,0.19,-0.92
550127,0.42,0.15,-0.92
550148,0.54,0.07,-0.96
550169,0.41,0.07,-0.98
550190,0.36,0.09,-0.96
550211,0.38,0.12,-0.9
550232,0.55,0.11,-0.89
550253,0.49,0.09,-0.93
550274,0.19,0.12,-0.95
550295,0.29,0.17,-0.94
550316,0.61,0.09,-0.92
550337,0.62,0.04,-0.95
550358,0.33,0.07,-0.97
550379,0.31,0.15,-0.93
550400,0.42,0.17,-0.9
550421,0.53,0.12,-0.91
550442,0.47,0.05,-0.92
550463,0.3,0.1,-0.94
550484,0.42,0.12,-0.95
550505,0.55,0.09,-0.94
550526,0.48,0.05,-0.95
550547,0.43,0.06,-0.95
550568,0.44,0.11,-0.92
550589,0.47,0.14,-0.9
550610,0.46,0.11,-0.92
550631,0.41,0.09,-0.94
550652,0.4,0.09,-0.96
550673,0.43,0.09,-0.96
550694,0.42,0.1,-0.95
550715,0.39,0.11,-0.96
550736,0.4,0.1,-0.95
550757,0.42,0.1,-0.94
550778,0.35,0.1,-0.92
550799,0.24,0.15,-0.91
550820,0.37,0.13,-0.93
550841,0.54,0.08,-0.93
550862,0.56,0.04,-0.95
550883,0.47,0.06,-0.95
550904,0.42,0.11,-0.93
550925,0.44,0.12,-0.92
550946,0.41,0.11,-0.92
550967,0.4,0.1,-0.93
550988,0.41,0.11,-0.93
551009,0.44,0.09,-0.92
551030,0.42,0.1,-0.91
551051,0.42,0.08,-0.91
551072,0.44,0.06,-0.91
551093,0.31,0.08,-0.93
551114,0.38,0.08,-0.92
551135,0.59,0.06,-0.91
551156,0.6,0.06,-0.94
551177,0.25,0.1,-0.96
551198,0.43,0.1,-0.96
551219,0.65,0.06,-0.95
551240,0.5,0.08,-0.98
551261,0.37,0.08,-0.96
551282,0.34,0.1,-0.93
551303,0.46,0.12,-0.91
551324,0.65,0.08,-0.89
551345,0.49,0.07,-0.91
551366,0.06,0.16,-0.93
551387,0.45,0.17,-0.95
551408,1.04,-0.02,-0.97
551429,0.54,0.04,-0.93
551450,-0.03,0.11,-0.91
551471,0.06,0.2,-0.93
551492,0.36,0.18,-0.93
551513,0.49,0.07,-0.96
551534,0.4,0.03,-0.98
551555,0.25,0.06,-1.0
551576,0.33,0.1,-0.98
551597,0.38,0.14,-0.95
551618,0.4,0.14,-0.95
551639,0.32,0.12,-0.96
551660,0.32,0.12,-0.97
551681,0.34,0.13,-0.98
551702,0.41,0.1,-0.97
551723,0.45,0.08,-0.97
551744,0.41,0.08,-0.97
551765,0.28,0.1,-0.95
551786,0.38,0.14,-0.93
551807,0.48,0.09,-0.94
551828,0.44,0.08,-0.94
551849,0.37,0.08,-0.95
551870,0.36,0.09,-0.94
551891,0.42,0.11,-0.94
551912,0.45,0.09,-0.95
551933,0.48,0.06,-0.95
551954,0.42,0.08,-0.96
551975,0.38,0.11,-0.96
551996,0.44,0.12,-0.97
552017,0.43,0.09,-0.96
552038,0.43,0.09,-0.95
552059,0.24,0.13,-0.96
552080,0.22,0.15,-0.95
552101,0.35,0.13,-0.92
552122,0.39,0.12,-0.93
552143,0.42,0.12,-0.95
552164,0.47,0.1,-0.96
552185,0.44,0.09,-0.97
552206,0.71,0.07,-0.99
552227,0.67,0.05,-0.98
552248,0.2,0.1,-0.96
552269,0.1,0.17,-0.93
552290,0.29,0.21,-0.89
552311,0.27,0.13,-0.92
552332,0.37,0.11,-0.97
552353,0.22,0.06,-0.95
552374,0.33,0.13,-0.97
552395,0.55,0.13,-0.98
552416,0.37,0.08,-0.96
552437,0.2,0.13,-0.96
552458,0.4,0.15,-0.97
552479,0.51,0.09,-0.96
552500,0.31,0.09,-0.96
552521,0.35,0.13,-0.97
552542,0.44,0.11,-0.97
552563,0.42,0.09,-0.97
552584,0.34,0.1,-0.97
552605,0.31,0.12,-0.94
552626,0.4,0.13,-0.95
552647,0.48,0.1,-0.97
552668,0.39,0.06,-0.95
552689,0.32,0.11,-0.95
552710,0.33,0.16,-0.95
552731,0.47,0.14,-0.96
552752,0.66,0.04,-1.0
552773,0.25,0.02,-0.98
552794,0.18,0.14,-0.94
552815,0.3,0.23,-0.9
552836,0.42,0.18,-0.9
552857,0.46,0.1,-0.94
552878,0.39,0.06,-0.98
552899,0.22,0.09,-0.97
552920,0.41,0.15,-0.97
552941,0.4,0.15,-0.95
552962,0.34,0.12,-0.95
552983,0.47,0.1,-0.98
553004,0.45,0.07,-0.99
553025,0.33,0.09,-0.95
553046,0.4,0.14,-0.96
553067,0.76,0.08,-1.04
553088,0.85,-0.1,-1.17
553109,-0.14,0.03,-1.01
553130,-0.23,0.37,-0.74
553151,0.42,0.24,-0.92
553172,1.02,0.14,-0.87
553193,0.66,0.04,-0.9
553214,0.07,0.09,-0.87
553235,-0.06,0.29,-0.86
553256,0.4,0.3,-0.8
553277,0.7,0.15,-0.8
553298,0.59,0.08,-0.89
553319,0.48,0.07,-0.99
553340,0.51,0.09,-1.0
553361,0.44,0.13,-0.96
553382,0.44,0.18,-0.92
553403,0.44,0.2,-0.89
553424,0.37,0.18,-0.88
553445,0.44,0.17,-0.89
553466,0.54,0.13,-0.91
553487,0.62,0.09,-0.93
553508,0.43,0.1,-0.94
553529,0.34,0.12,-0.97
553550,0.35,0.14,-0.93
553571,0.55,0.14,-0.91
553592,0.59,0.11,-0.93
553613,0.46,0.1,-0.95
553634,0.32,0.11,-0.94
553655,0.41,0.15,-0.9
553676,0.51,0.16,-0.89
553697,0.5,0.13,-0.92
553718,0.47,0.12,-0.93
553739,0.49,0.1,-0.91
553760,0.48,0.12,-0.91
553781,0.45,0.12,-0.91
553802,0.3,0.14,-0.91
553823,0.38,0.14,-0.91
553844,0.54,0.11,-0.92
553865,0.29,0.12,-0.92
553886,-0.01,0.18,-0.9
553907,0.84,0.17,-0.94
553928,1.29,0.0,-0.95
553949,0.46,-0.02,-0.94
553970,0.08,0.13,-0.96
553991,0.27,0.27,-0.87
554012,0.34,0.23,-0.81
554033,0.42,0.17,-0.81
554054,0.43,0.12,-0.88
554075,0.45,0.09,-0.93
554096,0.57,0.07,-0.96
554117,0.48,0.07,-0.94
554138,0.67,0.07,-0.95
554159,0.49,0.12,-0.95
554180,0.74,0.12,-0.89
554201,0.68,0.14,-0.88
554222,0.11,0.17,-0.88
554243,0.27,0.2,-0.87
554264,0.47,0.15,-0.86
554285,0.53,0.08,-0.89
554306,0.62,0.06,-0.92
554327,0.39,0.06,-0.96
554348,0.4,0.12,-0.96
554369,0.44,0.14,-0.93
554390,0.43,0.12,-0.91
554411,0.4,0.14,-0.92
554432,0.46,0.15,-0.92
554453,0.51,0.13,-0.93
554474,0.51,0.13,-0.93
554495,0.5,0.13,-0.94
554516,0.52,0.12,-0.93
554537,0.4,0.12,-0.93
554558,0.37,0.14,-0.92
554579,0.41,0.14,-0.93
554600,0.42,0.11,-0.94
554621,0.38,0.12,-0.93
554642,0.34,0.12,-0.93
554663,0.48,0.12,-0.92
554684,0.46,0.1,-0.92
554705,0.19,0.14,-0.91
554726,0.48,0.16,-0.91
554747,0.65,0.09,-0.88
554768,0.21,0.1,-0.91
554789,0.18,0.19,-0.94
554810,0.92,0.11,-0.9
554831,0.89,0.02,-0.91
554852,0.6,0.03,-0.97
554873,0.2,0.14,-0.93
554894,0.17,0.22,-0.89
554915,0.45,0.22,-0.84
554936,0.54,0.1,-0.86
554957,0.45,0.08,-0.93
554978,0.46,0.09,-0.96
554999,0.54,0.11,-0.95
555020,0.49,0.11,-0.92
555041,0.46,0.15,-0.9
555062,0.46,0.17,-0.9
555083,0.53,0.14,-0.91
555104,0.45,0.13,-0.92
555125,0.43,0.14,-0.93
555146,0.44,0.14,-0.92
555167,0.47,0.14,-0.91
555188,0.47,0.13,-0.92
555209,0.42,0.14,-0.94
555230,0.41,0.14,-0.94
555251,0.41,0.17,-0.94
555272,0.47,0.14,-0.93
555293,0.49,0.12,-0.93
555314,0.4,0.15,-0.93
555335,0.36,0.16,-0.91
555356,0.44,0.16,-0.91
555377,0.44,0.14,-0.92
555398,0.45,0.12,-0.94
555419,0.42,0.12,-0.94
555440,0.46,0.14,-0.94
555461,0.42,0.15,-0.94
555482,0.42,0.15,-0.94
555503,0.33,0.14,-0.92
555524,0.19,0.16,-0.9
555545,0.47,0.18,-0.91
555566,0.79,0.11,-0.94
555587,0.59,0.07,-0.93
555608,0.23,0.16,-0.95
555629,0.31,0.22,-0.94
555650,0.5,0.17,-0.89
555671,0.43,0.13,-0.91
555692,0.36,0.14,-0.93
555713,0.44,0.15,-0.91
555734,0.4,0.15,-0.92
555755,0.47,0.15,-0.92
555776,0.48,0.13,-0.92
555797,0.46,0.14,-0.91
555818,0.32,0.16,-0.91
555839,0.46,0.16,-0.9
555860,0.55,0.12,-0.91
555881,0.53,0.1,-0.93
555902,0.43,0.13,-0.95
555923,0.46,0.15,-0.93
555944,0.52,0.14,-0.92
555965,0.49,0.13,-0.93
555986,0.43,0.13,-0.93
556007,0.43,0.14,-0.94
556028,0.43,0.13,-0.91
556049,0.43,0.14,-0.89
556070,0.44,0.15,-0.9
556091,0.38,0.16,-0.9
556112,0.36,0.16,-0.9
556133,0.39,0.17,-0.88
556154,0.43,0.15,-0.9
556175,0.54,0.13,-0.92
556196,0.41,0.14,-0.92
556217,0.43,0.17,-0.93
556238,0.62,0.17,-0.96
556259,0.56,0.14,-0.97
556280,0.53,0.14,-0.96
556301,0.45,0.17,-0.93
556322,0.33,0.19,-0.89
556343,0.31,0.18,-0.89
556364,0.39,0.14,-0.89
556385,0.49,0.12,-0.9
556406,0.52,0.11,-0.89
556427,0.49,0.13,-0.9
556448,0.42,0.15,-0.92
556469,0.43,0.16,-0.92
556490,0.46,0.16,-0.91
556511,0.44,0.16,-0.92
556532,0.44,0.17,-0.91
556553,0.46,0.17,-0.91
556574,0.47,0.18,-0.92
556595,0.48,0.15,-0.92
556616,0.46,0.16,-0.92
556637,0.45,0.16,-0.92
556658,0.43,0.16,-0.92
556679,0.41,0.15,-0.92
556700,0.41,0.17,-0.92
556721,0.37,0.17,-0.93
556742,0.35,0.18,-0.91
556763,0.46,0.15,-0.92
556784,0.45,0.16,-0.94
556805,0.49,0.16,-0.94
556826,0.49,0.15,-0.94
556847,0.46,0.14,-0.92
556868,0.33,0.15,-0.92
556889,0.38,0.18,-0.92
556910,0.53,0.17,-0.9
556931,0.47,0.16,-0.91
556952,0.42,0.18,-0.91
